step	NumberAccept	NumberReject
103500	74379	29121
103600	74458	29142
103700	74538	29162
103800	74609	29191
103900	74679	29221
104000	74741	29259
104100	74813	29287
104200	74873	29327
104300	74947	29353
104400	75009	29391
104500	75087	29413
104600	75154	29446
104700	75220	29480
104800	75284	29516
104900	75355	29545
105000	75428	29572
105100	75501	29599
105200	75577	29623
105300	75645	29655
105400	75710	29690
105500	75778	29722
105600	75838	29762
105700	75911	29789
105800	75975	29825
105900	76052	29848
106000	76120	29880
106100	76191	29909
106200	76261	29939
106300	76332	29968
106400	76399	30001
106500	76462	30038
106600	76534	30066
106700	76611	30089
106800	76674	30126
106900	76735	30165
107000	76808	30192
107100	76879	30221
107200	76946	30254
107300	77002	30298
107400	77061	30339
107500	77139	30361
107600	77209	30391
107700	77281	30419
107800	77358	30442
107900	77427	30473
108000	77490	30510
108100	77562	30538
108200	77639	30561
108300	77710	30590
108400	77787	30613
108500	77858	30642
108600	77929	30671
108700	78000	30700
108800	78071	30729
108900	78141	30759
109000	78213	30787
109100	78281	30819
109200	78349	30851
109300	78423	30877
109400	78499	30901
109500	78573	30927
109600	78649	30951
109700	78717	30983
109800	78794	31006
109900	78873	31027
110000	78942	31058
110100	79013	31087
110200	79081	31119
110300	79157	31143
110400	79226	31174
110500	79306	31194
110600	79367	31233
110700	79434	31266
110800	79506	31294
110900	79582	31318
111000	79663	31337
111100	79740	31360
111200	79812	31388
111300	79886	31414
111400	79953	31447
111500	80029	31471
111600	80098	31502
111700	80173	31527
111800	80253	31547
111900	80321	31579
112000	80394	31606
112100	80468	31632
112200	80539	31661
112300	80607	31693
112400	80676	31724
112500	80741	31759
112600	80816	31784
112700	80887	31813
112800	80966	31834
112900	81048	31852
113000	81123	31877
113100	81201	31899
113200	81278	31922
113300	81356	31944
113400	81432	31968
113500	81510	31990
113600	81586	32014
113700	81656	32044
113800	81727	32073
113900	81798	32102
114000	81872	32128
114100	81945	32155
114200	82015	32185
114300	82087	32213
114400	82156	32244
114500	82233	32267
114600	82308	32292
114700	82387	32313
114800	82461	32339
114900	82535	32365
115000	82611	32389
115100	82690	32410
115200	82761	32439
115300	82841	32459
115400	82910	32490
115500	82984	32516
115600	83055	32545
115700	83120	32580
115800	83190	32610
115900	83261	32639
116000	83330	32670
116100	83395	32705
116200	83463	32737
116300	83531	32769
116400	83603	32797
116500	83680	32820
116600	83757	32843
116700	83839	32861
116800	83914	32886
116900	83979	32921
117000	84054	32946
117100	84128	32972
117200	84201	32999
117300	84274	33026
117400	84355	33045
117500	84434	33066
117600	84510	33090
117700	84586	33114
117800	84655	33145
117900	84722	33178
118000	84799	33201
118100	84863	33237
118200	84940	33260
118300	85017	33283
118400	85091	33309
118500	85167	33333
118600	85249	33351
118700	85327	33373
118800	85400	33400
118900	85483	33417
119000	85551	33449
119100	85626	33474
119200	85709	33491
119300	85788	33512
119400	85860	33540
119500	85934	33566
119600	86003	33597
119700	86081	33619
119800	86156	33644
119900	86234	33666
120000	86301	33699
120100	86378	33722
120200	86456	33744
120300	86537	33763
120400	86605	33795
120500	86678	33822
120600	86746	33854
120700	86823	33877
120800	86898	33902
120900	86971	33929
121000	87043	33957
121100	87114	33986
121200	87186	34014
121300	87254	34046
121400	87325	34075
121500	87402	34098
121600	87478	34122
121700	87550	34150
121800	87616	34184
121900	87687	34213
122000	87756	34244
122100	87821	34279
122200	87888	34312
122300	87950	34350
122400	88020	34380
122500	88098	34402
122600	88167	34433
122700	88233	34467
122800	88305	34495
122900	88378	34522
123000	88442	34558
123100	88512	34588
123200	88585	34615
123300	88667	34633
123400	88740	34660
123500	88810	34690
123600	88886	34714
123700	88963	34737
123800	89025	34775
123900	89096	34804
124000	89172	34828
124100	89241	34859
124200	89306	34894
124300	89378	34922
124400	89450	34950
124500	89517	34983
124600	89584	35016
124700	89656	35044
124800	89723	35077
124900	89797	35103
125000	89868	35132
125100	89930	35170
125200	89999	35201
125300	90065	35235
125400	90143	35257
125500	90219	35281
125600	90291	35309
125700	90369	35331
125800	90441	35359
125900	90512	35388
126000	90584	35416
126100	90649	35451
126200	90724	35476
126300	90796	35504
126400	90878	35522
126500	90950	35550
126600	91022	35578
126700	91084	35616
126800	91159	35641
126900	91236	35664
127000	91320	35680
127100	91388	35712
127200	91457	35743
127300	91527	35773
127400	91596	35804
127500	91670	35830
127600	91733	35867
127700	91809	35891
127800	91889	35911
127900	91960	35940
128000	92032	35968
128100	92111	35989
128200	92185	36015
128300	92268	36032
128400	92349	36051
128500	92426	36074
128600	92499	36101
128700	92587	36113
128800	92657	36143
128900	92725	36175
129000	92793	36207
129100	92857	36243
129200	92932	36268
129300	93004	36296
129400	93074	36326
129500	93147	36353
129600	93218	36382
129700	93287	36413
129800	93364	36436
129900	93436	36464
130000	93508	36492
130100	93583	36517
130200	93663	36537
130300	93737	36563
130400	93811	36589
130500	93888	36612
130600	93964	36636
130700	94032	36668
130800	94101	36699
130900	94174	36726
131000	94250	36750
131100	94314	36786
131200	94381	36819
131300	94455	36845
131400	94524	36876
131500	94599	36901
131600	94675	36925
131700	94739	36961
131800	94806	36994
131900	94876	37024
132000	94952	37048
132100	95026	37074
132200	95094	37106
132300	95175	37125
132400	95246	37154
132500	95316	37184
132600	95389	37211
132700	95468	37232
132800	95536	37264
132900	95604	37296
133000	95679	37321
133100	95750	37350
133200	95810	37390
133300	95879	37421
133400	95952	37448
133500	96021	37479
133600	96092	37508
133700	96162	37538
133800	96239	37561
133900	96310	37590
134000	96381	37619
134100	96448	37652
134200	96525	37675
134300	96603	37697
134400	96679	37721
134500	96749	37751
134600	96822	37778
134700	96890	37810
134800	96969	37831
134900	97044	37856
135000	97125	37875
135100	97196	37904
135200	97269	37931
135300	97333	37967
135400	97409	37991
135500	97477	38023
135600	97550	38050
135700	97622	38078
135800	97696	38104
135900	97757	38143
136000	97830	38170
136100	97902	38198
136200	97963	38237
136300	98027	38273
136400	98104	38296
136500	98159	38341
136600	98229	38371
136700	98298	38402
136800	98366	38434
136900	98435	38465
137000	98509	38491
137100	98580	38520
137200	98648	38552
137300	98717	38583
137400	98785	38615
137500	98860	38640
137600	98929	38671
137700	99005	38695
137800	99073	38727
137900	99148	38752
138000	99216	38784
138100	99283	38817
138200	99355	38845
138300	99425	38875
138400	99497	38903
138500	99569	38931
138600	99644	38956
138700	99710	38990
138800	99780	39020
138900	99851	39049
139000	99925	39075
139100	99998	39102
139200	100076	39124
139300	100144	39156
139400	100218	39182
139500	100291	39209
139600	100361	39239
139700	100430	39270
139800	100504	39296
139900	100570	39330
140000	100630	39370
140100	100705	39395
140200	100778	39422
140300	100848	39452
140400	100923	39477
140500	100999	39501
140600	101066	39534
140700	101143	39557
140800	101217	39583
140900	101290	39610
141000	101368	39632
141100	101443	39657
141200	101505	39695
141300	101577	39723
141400	101655	39745
141500	101725	39775
141600	101797	39803
141700	101867	39833
141800	101943	39857
141900	102019	39881
142000	102092	39908
142100	102158	39942
142200	102224	39976
142300	102288	40012
142400	102352	40048
142500	102433	40067
142600	102504	40096
142700	102576	40124
142800	102647	40153
142900	102723	40177
143000	102798	40202
143100	102873	40227
143200	102941	40259
143300	103011	40289
143400	103083	40317
143500	103156	40344
143600	103233	40367
143700	103315	40385
143800	103395	40405
143900	103467	40433
144000	103537	40463
144100	103609	40491
144200	103683	40517
144300	103759	40541
144400	103833	40567
144500	103906	40594
144600	103983	40617
144700	104052	40648
144800	104125	40675
144900	104198	40702
145000	104262	40738
145100	104332	40768
145200	104406	40794
145300	104475	40825
145400	104552	40848
145500	104628	40872
145600	104707	40893
145700	104782	40918
145800	104853	40947
145900	104929	40971
146000	105011	40989
146100	105084	41016
146200	105154	41046
146300	105226	41074
146400	105295	41105
146500	105369	41131
146600	105441	41159
146700	105511	41189
146800	105585	41215
146900	105653	41247
147000	105724	41276
147100	105801	41299
147200	105880	41320
147300	105953	41347
147400	106035	41365
147500	106116	41384
147600	106194	41406
147700	106269	41431
147800	106339	41461
147900	106413	41487
148000	106485	41515
148100	106550	41550
148200	106619	41581
148300	106693	41607
148400	106762	41638
148500	106840	41660
148600	106914	41686
148700	106979	41721
148800	107053	41747
148900	107123	41777
149000	107193	41807
149100	107258	41842
149200	107325	41875
149300	107400	41900
149400	107469	41931
149500	107538	41962
149600	107608	41992
149700	107676	42024
149800	107756	42044
149900	107819	42081
150000	107898	42102
150100	107967	42133
150200	108035	42165
150300	108110	42190
150400	108189	42211
150500	108254	42246
150600	108334	42266
150700	108408	42292
150800	108480	42320
150900	108543	42357
151000	108610	42390
151100	108675	42425
151200	108747	42453
151300	108818	42482
151400	108890	42510
151500	108960	42540
151600	109030	42570
151700	109106	42594
151800	109176	42624
151900	109248	42652
152000	109316	42684
152100	109386	42714
152200	109463	42737
152300	109539	42761
152400	109615	42785
152500	109685	42815
152600	109755	42845
152700	109824	42876
152800	109894	42906
152900	109963	42937
153000	110029	42971
153100	110096	43004
